6.67679838,3.63584897,2.98426479,8.27701235,6.29253031,5.75814452,2.9958353,7.14508256,4.63985206,3.18265033,3.21254511,4.78398521,5.97659082,5.42988147,8.5078798,10.4308765,5.56988976,6.43666231,4.30458769,1.15534447,4.13225609,3.42630068,2.3636273,3.12900057,5.55894294,4.20664759,4.63373022,3.36427439,4.67759599,6.76605684,5.08295838,2.20187246,1.30190288,5.10370543,5.18717246,2.84073225,4.94444444,2.12711553,2.89315938,4.34900592
9.34312732,7.40222366,6.13673359,10.0161579,7.62025811,10.0868079,5.8364765,9.78121646,7.72445677,5.61289154,6.14792217,10.3510591,10.4460864,7.15359297,10.1918811,11.7091378,9.73061725,7.79485711,7.15737515,5.29910881,9.75194516,8.50246523,9.48192081,7.8746018,9.87017236,6.53723136,7.67569334,6.63044299,8.54212989,11.1398517,8.99887514,5.39829146,8.83881456,8.39323808,12.6070004,7.88133435,8.66507937,4.7017084,6.401622,7.5709608
7.65113137,7.4839988,6.2651474,7.48301684,6.65428236,7.74902802,5.78539997,8.17149583,7.45261211,5.85631802,6.13676104,9.44189174,8.76808342,6.22895303,7.38713302,8.9329656,7.47704022,7.17570639,6.22640825,7.78856929,7.88817371,8.64081242,9.79964614,9.61028908,9.12957483,6.17062267,7.78459416,7.45302241,7.6494209,9.11442412,8.33661417,8.21328374,11.3653323,6.42310381,10.3356941,7.68327533,8.90952381,6.13203778,6.29760226,7.46060749
5.62478892,5.83276982,5.4946645,6.02533141,5.10559249,5.96427135,4.79922992,6.40426489,5.84188627,4.93491862,5.67729454,6.91051216,7.7529952,5.54403455,5.51297934,6.22615646,5.81707955,5.7674069,5.0159698,7.6725012,6.66656711,7.49282508,7.9157218,7.95498526,7.05500944,5.15870789,6.16560186,6.90664855,6.34686224,7.24889871,7.54218223,6.77741702,9.49709504,5.26504491,8.31220799,7.51916928,6.9,5.60305563,5.58180536,6.57235378
5.00506586,4.95054176,4.51257009,5.30256963,4.54829879,4.40072396,5.05068364,5.32592516,4.58437356,5.00130766,4.81230701,5.92149501,6.68784311,5.04746866,4.73652367,4.98918267,4.90229688,5.29141242,4.16848142,6.11825604,5.68390556,5.56773861,5.36395126,6.33689601,5.942626,4.25902026,5.05662843,6.91570448,5.8606843,4.7437646,5.49915636,5.65047442,7.37434039,4.63582095,5.87379358,5.69278216,5.72063492,4.85672734,4.65444288,5.18841471
4.21816954,4.28847757,3.96455055,4.20973991,3.96754009,3.86110739,4.19024045,4.32374424,4.04068423,4.30522864,4.52583801,3.49518099,5.69865,4.29786343,3.78432107,4.19315949,4.22387817,4.41279101,3.58413182,5.32045467,4.56086379,5.10118478,4.42198909,5.16835869,4.7499368,4.16549763,4.30702773,6.13538601,4.91321807,4.1480506,4.72581552,4.964852,5.23559512,4.29700805,4.68471131,4.70531647,4.57460317,4.14555799,4.21368124,4.57333068
3.37892604,3.85758543,3.80358112,3.80492381,3.94407509,3.46226036,4.55759862,3.96545159,4.00369857,4.26901644,4.39748503,3.31166648,4.5178331,3.50640209,3.59849031,3.68284587,3.73310719,4.08532112,3.48795006,4.48262981,4.08297367,4.34616234,3.60836303,4.20971151,4.07477358,3.68853226,4.02388558,5.28111086,4.30259184,3.3642164,3.75421822,3.910412,3.55524759,3.66061345,3.07501677,4.28939252,4.04920635,3.62776277,4.43406206,3.85693869
3.45829112,3.66887355,3.76198228,3.30455027,3.31638639,3.12709478,3.83074022,3.65562364,3.63569117,3.88275293,4.15194018,2.82976577,3.9084349,3.82032305,3.21098274,3.47145382,3.25677065,3.50553836,3.08689024,3.990341,2.80312421,3.82220914,2.94799272,3.46095448,3.85913775,3.37429624,3.65362277,4.19892838,3.82139183,2.93781059,3.28880765,3.80796268,2.98091786,3.25009411,2.51912649,3.9555216,3.5015873,3.03805156,3.65303244,3.14597391
2.85376562,3.20967463,3.54856213,3.12385983,3.21666015,2.7667918,3.80127298,3.39599128,2.97549699,3.72382159,4.13333829,2.66866525,3.65121016,3.33897757,2.95024345,2.94462519,3.08175306,3.12259542,3.01067073,3.13784087,2.50294948,3.16873942,2.94051683,2.70326595,3.56468331,3.00768756,3.15086395,3.97253038,3.32525802,2.6446566,3.15382452,3.17908142,2.39059752,3.05648674,2.50207464,3.13499137,3.47619048,2.76956515,3.51375176,2.93612171
2.91117866,2.99265596,3.30982094,2.63738555,3.29487681,2.67629709,3.64804338,2.94423097,2.78317152,3.68760939,4.10543547,2.13213045,3.29731036,3.01364129,2.71831513,3.05197272,2.4195731,3.17627901,2.84189895,3.07246918,2.16543958,3.02008978,2.57046027,2.21649945,3.14530881,2.97588987,2.894947,3.34616255,3.0498125,2.45026572,2.85292463,2.92059389,2.05479452,2.84674542,2.24402333,2.80960869,3.17142857,2.53144327,3.3145275,2.78596885
