1.28248871,2.99473476,0.86909654,1.35798163,1.55460289,3.21749769,1.67661533,0.878638111,2.21614465,1.09724521,3.37897765,2.80455232,1.20464371,3.43002144,0.948472233,2.14237204,2.98692212,2.59477032,1.74850157,2.18275673,1.05451256,2.24740232,3.88837401,2.27359816,1.51789604,1.50260855,2.95713248,1.5032149,2.86080273,5.40164159,3.27488616,2.40865219,1.69837566,2.61360914,3.11649924,1.26300608,1.22730176,2.7233012,1.24502397,1.05214153,2.08105657
6.30807827,6.35990926,3.67625592,4.75061039,6.43501805,6.35128464,6.69897644,4.34030956,4.66453952,5.63266692,6.18902373,6.99492897,5.44761257,5.47315921,3.76246956,5.66565825,8.25036327,7.09598443,4.36430755,7.51914399,4.30408789,5.27998495,6.22798888,5.25397028,4.71419072,4.53800716,6.26059579,4.93098378,5.96206571,7.90623088,7.51159723,6.43312651,5.23422777,7.12403163,7.38535352,4.53487174,4.45980473,7.11097393,4.53529937,3.89897579,5.75022671
6.63723031,6.17052715,5.17415617,5.83653064,5.92960289,6.38133465,6.83370446,5.82504525,5.86920188,6.02317586,6.24310468,6.64847288,5.66862583,6.44004025,5.66530516,6.61439361,7.90054357,6.05847765,6.8173699,7.64563107,5.01444991,5.60675161,6.29801256,5.49878656,5.0466604,5.25374035,6.03293776,6.03699884,4.74628073,7.41037706,5.57943567,5.4981041,5.96562865,7.23384714,7.08120033,5.55887504,4.98676887,4.92663469,5.8371923,5.58659218,4.83874718
5.95283492,4.65130799,4.33425408,4.20648762,5.25947653,4.53540535,5.74091054,5.24742205,5.36563131,4.50995373,4.50386138,5.68652499,4.18225094,4.90003063,5.84596654,5.22730547,5.92002583,5.32198832,5.38244751,6.67475728,4.04376889,4.05049603,5.6575018,5.31144889,4.5215876,4.50566981,3.89198353,4.45697733,4.22715628,5.32990104,4.84104354,4.7677525,4.39737952,6.13968533,5.4362028,5.93592253,4.39364906,3.75611378,5.72548542,4.76489758,4.56669844
4.21274461,4.17473101,4.02658941,3.41588187,3.94629964,3.61887999,4.8052993,4.39115667,4.28686158,4.25315166,3.81162524,4.43231526,3.1864769,4.15408846,4.7482523,4.20242432,5.03560985,4.44903775,4.27499702,4.70907972,3.45032981,3.80365791,4.21995675,4.4088219,3.79015431,4.29871082,2.88931945,4.27922491,3.77994517,3.79591923,4.03030174,3.9210617,3.04451225,4.96965099,4.05680382,4.69558051,3.67278036,3.30737452,5.14664067,3.89897579,3.41339782
3.44204717,3.41720256,3.28774507,2.95547029,3.04377256,2.97495117,3.41872345,3.64878882,3.60530486,2.93730634,3.13453177,4.03166492,2.67401758,3.28127051,3.81156233,3.24134099,4.78625119,3.54397865,3.90783154,3.95699439,2.97601977,2.9408999,3.73596952,3.39549538,3.32240387,3.57219851,2.49212884,3.10737563,3.45858241,2.94980271,3.28126995,3.08729748,2.68554249,3.42025397,3.2471566,3.87555372,3.1823159,2.69243554,4.23470631,2.6443203,2.93673123
2.775715,2.74083786,2.90147993,2.31135914,2.54287004,2.4662474,2.6814618,3.20743588,2.75878535,2.72082856,2.81004608,3.02907134,2.15670083,2.54626591,3.58573561,2.90177193,3.62915523,3.13258815,3.33624419,3.55360317,2.58112908,2.34613757,2.73092369,3.15919445,2.43963956,2.66028543,1.99806248,2.88353925,2.86080273,2.37587829,2.69608886,2.76844192,2.32657274,2.86518649,2.60029559,3.5603173,2.83785017,2.02288808,3.2598099,2.21834264,2.27637361
2.1716006,2.50358994,2.0817894,2.153238,2.29016245,2.33746163,2.40452087,2.85760775,2.78917323,2.72931788,2.57857962,2.93616692,1.42808569,2.23563897,3.1772838,2.24938775,2.60122347,2.36599707,2.62176001,2.66135649,2.48626707,1.80779538,2.27371023,2.83561119,2.01086832,2.54818264,1.72196658,2.51486756,2.33718369,1.94543498,2.41520194,2.52714581,2.10221664,2.44389426,2.12264656,2.53837437,2.44091614,2.23419915,2.70127549,1.91573557,2.11360941
2.28198695,2.23304406,2.10200094,1.92303221,1.90884477,2.01549722,1.91800303,2.25354404,2.3355256,2.4788828,2.15458498,2.61293694,1.1463545,2.10001313,2.85719896,2.15060402,2.19399745,2.0328711,2.21688564,2.08190893,2.0869642,1.6949551,1.8824014,2.62698514,2.08194804,2.33044453,1.53790264,2.25811407,1.9686278,1.39894077,2.08750053,2.07040676,2.12240869,2.07451482,1.98984728,2.35500155,2.36791678,1.89942542,2.20773418,1.57588454,2.03222731
1.89262418,2.03533745,1.69552427,1.70910359,1.46886282,1.80514714,1.83379802,1.90574979,2.13366326,2.17326712,1.95556709,2.13680177,1.33579443,1.75657348,2.81596104,2.06828425,1.86749906,1.84624029,1.72865479,1.92465472,2.07813982,1.49513376,1.72175883,2.17567165,1.90080939,1.86478679,1.30540082,2.10230639,1.81581195,1.40105079,1.75767119,1.96699414,2.03715337,1.71911189,1.83777069,2.01504069,2.0576695,1.76171708,1.79543424,1.51070764,1.63461762
