6.67679838,5.51469172,6.72605345,3.63584897,8.27701235,6.29253031,5.05110927,5.75814452,7.14508256,4.71154027,4.63985206,3.18265033,3.21254511,5.22801757,4.78398521,5.97659082,5.42988147,5.49931142,6.33422414,6.57815329,5.80485127,10.4308765,4.05196022,5.56988976,7.35985138,6.43666231,4.30458769,4.13225609,3.42630068,2.3636273,5.87024406,3.12900057,5.55894294,4.20664759,4.63373022,4.69581102,3.36427439,4.67759599,6.76605684,5.08295838,5.46873689,2.20187246,1.30190288,5.10370543,5.18717246,2.84073225,4.94444444,2.89315938,4.34900592
9.34312732,7.95432665,8.2724452,7.40222366,10.0161579,7.62025811,8.78446137,10.0868079,9.78121646,7.40921643,7.72445677,5.61289154,6.14792217,5.95495433,10.3510591,10.4460864,7.15359297,7.95399561,7.8201702,7.82853048,8.67576195,11.7091378,7.81024791,9.73061725,9.62372054,7.79485711,7.15737515,9.75194516,8.50246523,9.48192081,9.62266455,7.8746018,9.87017236,6.53723136,7.67569334,7.81202428,6.63044299,8.54212989,11.1398517,8.99887514,8.98027696,5.39829146,8.83881456,8.39323808,12.6070004,7.88133435,8.66507937,6.401622,7.5709608
7.65113137,6.65074903,7.81036266,7.4839988,7.48301684,6.65428236,7.71301395,7.74902802,8.17149583,6.72540437,7.45261211,5.85631802,6.13676104,5.99504916,9.44189174,8.76808342,6.22895303,7.61715115,7.22124296,6.97231442,7.04308399,8.9329656,7.23371289,7.47704022,7.11215532,7.17570639,6.22640825,7.88817371,8.64081242,9.79964614,7.81012857,9.61028908,9.12957483,6.17062267,7.78459416,7.06878951,7.45302241,7.6494209,9.11442412,8.33661417,8.28031893,8.21328374,11.3653323,6.42310381,10.3356941,7.68327533,8.90952381,6.29760226,7.46060749
5.62478892,5.69761621,5.66843492,5.83276982,6.02533141,5.10559249,5.43113003,5.96427135,6.40426489,5.37844489,5.84188627,4.93491862,5.67729454,5.78237222,6.91051216,7.7529952,5.54403455,5.95340008,5.15153238,4.99207906,5.37584125,6.22615646,6.3400836,5.81707955,5.97202492,5.7674069,5.0159698,6.66656711,7.49282508,7.9157218,5.81616454,7.95498526,7.05500944,5.15870789,6.16560186,5.42292745,6.90664855,6.34686224,7.24889871,7.54218223,6.58329836,6.77741702,9.49709504,5.26504491,8.31220799,7.51916928,6.9,5.58180536,6.57235378
5.00506586,4.47683598,4.22380142,4.95054176,5.30256963,4.54829879,3.75622372,4.40072396,5.32592516,4.3978133,4.58437356,5.00130766,4.81230701,5.41628896,5.92149501,6.68784311,5.04746866,4.5222764,4.57724456,4.56019916,3.82042576,4.98918267,4.9203661,4.90229688,4.51316796,5.29141242,4.16848142,5.68390556,5.56773861,5.36395126,4.69793974,6.33689601,5.942626,4.25902026,5.05662843,4.93400433,6.91570448,5.8606843,4.7437646,5.49915636,4.88963491,5.65047442,7.37434039,4.63582095,5.87379358,5.69278216,5.72063492,4.65444288,5.18841471
4.21816954,4.53460161,3.54986154,4.28847757,4.20973991,3.96754009,3.66473724,3.86110739,4.32374424,4.01269937,4.04068423,4.30522864,4.52583801,4.93863747,3.49518099,5.69865,4.29786343,4.25801169,3.72434184,4.27919433,3.65370148,4.19315949,3.87719804,4.22387817,3.8629658,4.41279101,3.58413182,4.56086379,5.10118478,4.42198909,3.52912444,5.16835869,4.7499368,4.16549763,4.30702773,4.2462883,6.13538601,4.91321807,4.1480506,4.72581552,3.66932438,4.964852,5.23559512,4.29700805,4.68471131,4.70531647,4.57460317,4.21368124,4.57333068
3.37892604,3.68159587,3.07943816,3.85758543,3.80492381,3.94407509,2.72524147,3.46226036,3.96545159,3.30634405,4.00369857,4.26901644,4.39748503,4.11059201,3.31166648,4.5178331,3.50640209,3.71645513,3.27704175,3.75867532,3.12099709,3.68284587,3.47182185,3.73310719,3.48960041,4.08532112,3.48795006,4.08297367,4.34616234,3.60836303,3.11393333,4.20971151,4.07477358,3.68853226,4.02388558,3.41171625,5.28111086,4.30259184,3.3642164,3.75421822,3.04322283,3.910412,3.55524759,3.66061345,3.07501677,4.28939252,4.04920635,4.43406206,3.85693869
3.45829112,3.32152347,2.680746,3.66887355,3.30455027,3.31638639,2.56689949,3.12709478,3.65562364,3.06400406,3.63569117,3.88275293,4.15194018,4.05655115,2.82976577,3.9084349,3.82032305,3.32564112,2.99653153,3.80582378,2.95630604,3.47145382,3.01599885,3.25677065,3.05248971,3.50553836,3.08689024,2.80312421,3.82220914,2.94799272,2.70920922,3.46095448,3.85913775,3.37429624,3.65362277,3.00517578,4.19892838,3.82139183,2.93781059,3.28880765,2.87704574,3.80796268,2.98091786,3.25009411,2.51912649,3.9555216,3.5015873,3.65303244,3.14597391
2.85376562,3.14437555,2.46555233,3.20967463,3.12385983,3.21666015,2.3733704,2.7667918,3.39599128,2.90432267,2.97549699,3.72382159,4.13333829,3.66606234,2.66866525,3.65121016,3.33897757,3.24189526,2.54165008,2.92320459,2.69402029,2.94462519,2.72773133,3.08175306,2.9541398,3.12259542,3.01067073,2.50294948,3.16873942,2.94051683,2.49986916,2.70326595,3.56468331,3.00768756,3.15086395,2.82071028,3.97253038,3.32525802,2.6446566,3.15382452,2.54972723,3.17908142,2.39059752,3.05648674,2.50207464,3.13499137,3.47619048,3.51375176,2.93612171
2.91117866,2.7977818,2.11523705,2.99265596,2.63738555,3.29487681,2.31707103,2.67629709,2.94423097,2.99637429,2.78317152,3.68760939,4.10543547,3.38888501,2.13213045,3.29731036,3.01364129,2.92738303,2.59092891,2.8307936,2.79161499,3.05197272,2.57819256,2.4195731,2.53342076,3.17627901,2.84189895,2.16543958,3.02008978,2.57046027,2.36554263,2.21649945,3.14530881,2.97588987,2.894947,2.57714419,3.34616255,3.0498125,2.45026572,2.85292463,2.41712128,2.92059389,2.05479452,2.84674542,2.24402333,2.80960869,3.17142857,3.3145275,2.78596885
2.67814927,2.55516617,1.90171154,2.70015254,2.35418802,3.00156433,2.38216717,2.35956563,2.8334545,2.70331198,2.79426722,3.63530287,3.53435768,3.04023429,2.13353132,3.17819287,3.15252754,2.52354189,2.07729194,2.67803259,2.85667812,2.78442965,2.15660133,2.60361222,2.50063745,2.49986579,2.7965302,2.01460552,2.76252852,2.2614568,2.35682012,1.94111167,3.06351591,2.82438322,2.78604617,2.4464065,3.13787639,2.95191318,2.39226199,2.23987627,2.26101553,2.493459,1.53509941,2.64596741,2.03940114,2.70916447,3.56507937,3.35331453,2.4802359
2.4552516,2.14117919,2.30207186,2.82596046,2.33507653,2.77473602,2.39272331,2.11824641,2.55824419,2.70519058,2.56680536,3.23696864,3.16232003,3.10822118,1.86876611,2.78458723,2.85192443,2.42862992,2.14362882,2.48189499,2.89124291,2.57799211,2.26289997,2.29688036,2.35675518,2.48733962,2.83826945,1.84286376,2.4740599,2.27391662,2.15096907,1.80862782,2.85829008,2.773881,2.51560912,2.23149525,2.74545317,2.65323731,1.94390882,2.25534308,2.09315988,2.20975318,1.50178562,2.65134539,1.89843919,2.71765272,3.64285714,2.88963329,2.28666534
